subjectid;fake_cpr;sex;age;Ethnicity;DODRace;WritingPreference;Installation;Component;Branch;Heightin;weightkg;earlength;footlength;handlength;handbreadth;hipbreadth;chestbreadth;thighcircumference;waistcircumference;anklecircumference;bicepscircumference;calfcircumference;span
1017;151168-2263;Male;41;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;71;815,000000000000;71;273;193;90;332;291,000000000000;610,000000000000;933,000000000000;222,00;369,000000000000;373,000000000000;1782
4775;210475-1945;Man;35;NA;1;Left hand;Fort Hood;Regular Army;Combat Support;68;726,000000000000;62;263;195;86;312;269,000000000000;572,000000000000;870,000000000000;220,00;338,000000000000;357,000000000000;1745
2177;290568-1069;Male;42;NA;2;Left hand;Fort Hood;Regular Army;Combat Support;68;929,000000000000;61;270;203;93;349;288,000000000000;685,000000000000;964,000000000000;230,00;408,000000000000;412,000000000000;1867
5026;121283-0610;Female;26;NA;2;Right hand;Fort Hood;Regular Army;Combat Support;61;657,000000000000;65;246;184;75;345;274,000000000000;622,000000000000;850,000000000000;204,00;315,000000000000;360,000000000000;1647
1533;090189-0422;Woman;21;Mexican;3;Right hand;Fort Hood;Regular Army;Combat Service Support;64;534,000000000000;60;249;189;78;315;261,000000000000;524,000000000000;708,000000000000;207,00;272,000000000000;350,000000000000;1751
4567;020487-3860;Female;23;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;68;663,000000000000;65;265;195;84;356;287,000000000000;577,000000000000;727,000000000000;233,00;300,000000000000;384,000000000000;1779
2347;041287-8106;Female;22;Caribbean Islander;2;Right hand;Fort Hood;Regular Army;Combat Service Support;66;782,000000000000;62;265;186;80;337;269,000000000000;679,000000000000;923,000000000000;214,00;364,000000000000;372,000000000000;1708
270;130765-7114;Woman;45;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;63;886,000000000000;65;247;187;78;448;305,000000000000;766,000000000000;1163,000000000000;214,00;320,000000000000;433,000000000000;1702
4050;020166-4680;Female;44;NA;2;Left hand;Fort Hood;Regular Army;Combat Service Support;67;837,000000000000;61;270;198;78;358;285,000000000000;674,000000000000;968,000000000000;228,00;342,000000000000;396,000000000000;1777
5307;101188-3148;Female;21;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;65;732,000000000000;60;241;167;77;365;278,000000000000;650,000000000000;964,000000000000;223,00;320,000000000000;373,000000000000;1608
3379;160187-1970;Female;23;Polynesian Samoan;6;Right hand;Fort Hood;Regular Army;Combat Service Support;66;760,000000000000;57;255;177;82;382;294,000000000000;675,000000000000;914,000000000000;205,00;337,000000000000;373,000000000000;1701
4065;111185-8356;Female;24;NA;2;Left hand;Fort Hood;Regular Army;Combat Service Support;59;545,000000000000;55;234;174;74;332;236,000000000000;592,000000000000;755,000000000000;193,00;283,000000000000;345,000000000000;1605
597;190773-0624;Female;37;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;63;684,000000000000;53;245;175;82;354;292,000000000000;604,000000000000;944,000000000000;208,00;290,000000000000;367,000000000000;1540
1301;140379-6375;Male;31;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;66;794,000000000000;66;267;194;91;338;296,000000000000;604,000000000000;857,000000000000;230,00;359,000000000000;395,000000000000;1708
6070;060989-5699;Male;21;NA;2;Right hand;Fort Hood;Regular Army;Combat Service Support;77;946,000000000000;56;305;218;94;332;304,000000000000;672,000000000000;868,000000000000;247,00;356,000000000000;425,000000000000;2035
330;230677-6298;Female;33;NA;2;Right hand;Fort Hood;Regular Army;Combat Service Support;69;990,000000000000;66;270;210;87;427;297,000000000000;740,000000000000;935,000000000000;245,00;408,000000000000;453,000000000000;1833
1799;030374-1450;Female;36;Caribbean Islander;2;Right hand;Fort Hood;Regular Army;Combat Service Support;66;742,000000000000;61;260;186;80;339;304,000000000000;600,000000000000;942,000000000000;220,00;316,000000000000;358,000000000000;1774
3913;240470-7202;Woman;40;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;65;781,000000000000;67;234;178;75;367;298,000000000000;623,000000000000;995,000000000000;206,00;334,000000000000;375,000000000000;1722
5711;201285-8846;Female;24;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;66;718,000000000000;64;263;190;83;359;293,000000000000;606,000000000000;848,000000000000;220,00;320,000000000000;373,000000000000;1798
1749;160771-8275;Male;39;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;69;802,000000000000;68;254;190;85;320;281,000000000000;607,000000000000;950,000000000000;216,00;340,000000000000;386,000000000000;1817
37;281277-8789;Male;32;NA;2;Right hand;Fort Hood;Regular Army;Combat Service Support;72;1162,000000000000;69;285;220;93;368;278,000000000000;754,000000000000;1073,000000000000;257,00;452,000000000000;467,000000000000;1965
1129;011179-7252;Woman;30;Dominican;3;Right hand;Fort Hood;Regular Army;Combat Service Support;64;709,000000000000;63;238;178;80;338;280,000000000000;639,000000000000;929,000000000000;194,00;339,000000000000;375,000000000000;1690
729;141173-1680;Woman;36;NA;1;Right hand;Fort Hood;Regular Army;Combat Support;66;672,000000000000;61;249;177;81;358;275,000000000000;619,000000000000;835,000000000000;223,00;285,000000000000;362,000000000000;1657
878;101190-1844;Female;19;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;65;620,000000000000;58;257;187;82;337;270,000000000000;564,000000000000;772,000000000000;218,00;296,000000000000;377,000000000000;1687
485;250891-7378;Female;19;NA;2;Left hand;Fort Hood;Regular Army;Combat Support;67;595,000000000000;58;256;186;75;329;261,000000000000;569,000000000000;805,000000000000;197,00;264,000000000000;338,000000000000;1670
5922;170677-3278;Female;33;NA;2;Right hand;Fort Hood;Regular Army;Combat Service Support;66;741,000000000000;58;253;187;79;344;296,000000000000;647,000000000000;868,000000000000;211,00;335,000000000000;382,000000000000;1797
4012;160976-8322;Female;34;NA;1;Left hand;Fort Hood;Regular Army;Combat Service Support;64;605,000000000000;59;235;175;72;362;270,000000000000;615,000000000000;792,000000000000;209,00;290,000000000000;379,000000000000;1603
5071;240879-8764;Woman;31;NA;1;Right hand;Fort Hood;Regular Army;Combat Support;60;800,000000000000;57;233;169;75;358;308,000000000000;695,000000000000;1137,000000000000;217,00;336,000000000000;413,000000000000;1539
2849;291080-7264;Woman;29;NA;2;Left hand;Fort Hood;Regular Army;Combat Support;66;747,000000000000;57;250;184;77;363;287,000000000000;677,000000000000;881,000000000000;218,00;320,000000000000;406,000000000000;1782
2900;290779-1408;Female;31;NA;1;Right hand;Fort Hood;Regular Army;Combat Support;64;491,000000000000;60;231;174;74;304;244,000000000000;492,000000000000;702,000000000000;201,00;262,000000000000;326,000000000000;1602
2378;080677-6820;Female;33;NA;1;Right hand;Fort Hood;Regular Army;Combat Support;66;703,000000000000;60;251;175;76;366;296,000000000000;614,000000000000;954,000000000000;212,00;308,000000000000;353,000000000000;1646
4650;280891-2222;Female;19;NA;2;Right hand;Fort Hood;Regular Army;Combat Service Support;65;715,000000000000;55;258;195;82;344;276,000000000000;603,000000000000;796,000000000000;213,00;318,000000000000;396,000000000000;1763
1446;180487-5930;Female;23;Mexican;3;Right hand;Fort Hood;Regular Army;Combat Service Support;63;708,000000000000;55;242;177;78;365;294,000000000000;630,000000000000;1000,000000000000;195,00;312,000000000000;344,000000000000;1595
2159;120987-8048;Woman;23;Cherokee;1;Right hand;Fort Hood;Regular Army;Combat Service Support;56;488,000000000000;58;223;155;74;323;266,000000000000;529,000000000000;742,000000000000;205,00;257,000000000000;343,000000000000;1323
3476;010287-2735;Male;23;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;74;954,000000000000;64;281;198;88;373;285,000000000000;644,000000000000;1010,000000000000;254,00;332,000000000000;404,000000000000;1939
1948;230374-7873;Man;36;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;70;995,000000000000;74;266;197;93;353;335,000000000000;635,000000000000;1065,000000000000;230,00;379,000000000000;412,000000000000;1812
2580;290887-8075;Male;23;NA;1;Left hand;Fort Hood;Regular Army;Combat Support;72;702,000000000000;72;278;200;88;330;280,000000000000;525,000000000000;824,000000000000;233,00;325,000000000000;368,000000000000;1918
1530;131277-2511;Male;32;Mexican Yaqui;1;Right hand;Fort Hood;Regular Army;Combat Service Support;70;882,000000000000;74;265;200;89;352;293,000000000000;624,000000000000;994,000000000000;218,00;351,000000000000;377,000000000000;1840
4439;311281-0303;Male;28;NA;1;Either hand (No preference);Fort Hood;Regular Army;Combat Service Support;69;701,000000000000;60;256;194;88;317;268,000000000000;567,000000000000;866,000000000000;205,00;327,000000000000;343,000000000000;1823
4136;300474-5199;Male;36;NA;2;Right hand;Fort Hood;Regular Army;Combat Support;72;1037,000000000000;68;291;210;94;351;296,000000000000;689,000000000000;986,000000000000;244,00;397,000000000000;460,000000000000;1995
4633;230984-9473;Male;26;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;75;1116,000000000000;74;274;194;91;376;314,000000000000;704,000000000000;1045,000000000000;241,00;420,000000000000;434,000000000000;1956
4344;310588-0663;Male;22;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;68;896,000000000000;64;266;184;90;390;263,000000000000;695,000000000000;1007,000000000000;243,00;363,000000000000;421,000000000000;1726
1222;230872-2361;Male;38;NA;2;Right hand;Fort Hood;Regular Army;Combat Service Support;69;924,000000000000;58;278;203;88;322;291,000000000000;640,000000000000;1033,000000000000;237,00;387,000000000000;433,000000000000;1883
2426;160984-8419;Male;26;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;67;779,000000000000;67;270;188;85;343;275,000000000000;604,000000000000;908,000000000000;231,00;341,000000000000;400,000000000000;1739
2087;160376-9725;Male;34;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;70;969,000000000000;70;270;203;90;342;276,000000000000;674,000000000000;1028,000000000000;233,00;377,000000000000;447,000000000000;1828
2483;200279-5823;Male;31;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;70;760,000000000000;67;266;179;85;331;274,000000000000;613,000000000000;874,000000000000;205,00;335,000000000000;358,000000000000;1749
2858;290378-4535;Man;32;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;70;908,000000000000;68;277;198;92;352;303,000000000000;632,000000000000;999,000000000000;238,00;335,000000000000;395,000000000000;1850
5510;260682-9477;Man;28;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;71;714,000000000000;61;275;195;88;320;296,000000000000;553,000000000000;837,000000000000;228,00;304,000000000000;355,000000000000;1846
5400;161185-0587;Male;24;Puerto Rican;3;Right hand;Fort Hood;Regular Army;Combat Service Support;66;746,000000000000;65;254;185;88;342;265,000000000000;638,000000000000;880,000000000000;222,00;348,000000000000;380,000000000000;1695
1696;260187-6157;Male;23;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;66;792,000000000000;62;267;180;86;334;276,000000000000;639,000000000000;978,000000000000;227,00;358,000000000000;363,000000000000;1706
526;171183-8949;Male;26;NA;2;Right hand;Fort Hood;Regular Army;Combat Service Support;79;915,000000000000;65;301;227;98;333;273,000000000000;646,000000000000;827,000000000000;250,00;355,000000000000;403,000000000000;2072
1069;260677-3549;Male;33;NA;1;Right hand;Fort Hood;Regular Army;Combat Arms;70;965,000000000000;65;277;194;92;361;283,000000000000;665,000000000000;1030,000000000000;251,00;389,000000000000;462,000000000000;1809
5522;270678-0469;Male;32;Colombian;3;Right hand;Fort Hood;Regular Army;Combat Arms;64;675,000000000000;64;263;181;82;315;239,000000000000;588,000000000000;885,000000000000;220,00;320,000000000000;395,000000000000;1655
22;121179-5901;Man;30;NA;1;Left hand;Fort Hood;Regular Army;Combat Arms;73;1073,000000000000;65;266;199;94;383;301,000000000000;706,000000000000;1130,000000000000;235,00;374,000000000000;416,000000000000;1876
5838;250974-8607;Male;36;Filipino;1;Right hand;Fort Hood;Regular Army;Combat Arms;71;793,000000000000;60;275;192;84;337;280,000000000000;621,000000000000;912,000000000000;219,00;330,000000000000;370,000000000000;1828
5862;161284-9765;Male;25;Puerto Rican;3;Right hand;Fort Hood;Regular Army;Combat Service Support;69;782,000000000000;61;278;193;90;345;250,000000000000;635,000000000000;864,000000000000;229,00;337,000000000000;380,000000000000;1803
5491;050377-5447;Man;33;NA;1;Right hand;Fort Hood;Regular Army;Combat Support;73;882,000000000000;63;271;196;88;357;277,000000000000;646,000000000000;965,000000000000;224,00;340,000000000000;407,000000000000;1807
1128;150489-0083;Male;21;NA;1;Right hand;Fort Hood;Regular Army;Combat Service Support;75;715,000000000000;71;262;192;91;329;280,000000000000;531,000000000000;777,000000000000;223,00;312,000000000000;362,000000000000;1898
983;281062-4957;Male;47;Puerto Rican;3;Left hand;Fort Hood;Regular Army;Combat Arms;71;947,000000000000;69;273;201;89;373;294,000000000000;684,000000000000;1063,000000000000;238,00;357,000000000000;436,000000000000;1863
